,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
1,0,ADULT,31,22,25 to 34 years,S7,Sunset,April,2016.0,z,email,True,2010,False,4.0
4,0,ADULT,126,11,45 to 54 years,M2,Marina,January,2016.0,z,email,True,2003,False,2.0
6,0,ADULT,3002,1689,25 to 34 years,P5,Portola,July,2016.0,p,phone,True,2004,False,9.0
7,0,ADULT,4,0,25 to 34 years,C2,Chinatown,July,2014.0,p,phone,True,2014,False,5.0
8,0,ADULT,20,0,25 to 34 years,S7,Sunset,June,2015.0,z,email,True,2011,False,7.0
10,0,ADULT,102,31,25 to 34 years,M6,Mission,June,2012.0,z,email,True,2009,False,9.0
12,0,ADULT,45,11,25 to 34 years,P3,Parkside,May,2016.0,z,email,True,2013,False,4.0
13,0,ADULT,88,64,35 to 44 years,A5,Anza,July,2016.0,z,email,True,2011,False,1.0
14,0,ADULT,22,6,45 to 54 years,M2,Marina,May,2016.0,z,email,True,2010,False,2.0
17,0,ADULT,5,1,25 to 34 years,A5,Anza,January,2012.0,z,email,True,2009,False,1.0
23,0,ADULT,12,0,45 to 54 years,S7,Sunset,June,2014.0,z,email,True,2009,False,4.0
32,0,ADULT,1989,3146,45 to 54 years,M6,Mission,May,2016.0,z,email,True,2003,False,8.0
33,0,ADULT,66,12,55 to 59 years,M2,Marina,July,2016.0,z,email,True,2009,False,2.0
34,3,SENIOR,29,0,65 to 74 years,O7,Ortega,July,2016.0,p,phone,False,2015,False,4.0
35,0,ADULT,322,316,35 to 44 years,P1,Park,July,2016.0,z,email,True,2006,False,5.0
36,0,ADULT,101,0,45 to 54 years,X,Main Library,February,2014.0,z,email,True,2013,False,5.0
38,0,ADULT,25,1,45 to 54 years,P1,Park,August,2011.0,z,email,True,2009,False,5.0
40,0,ADULT,2,0,35 to 44 years,P3,Parkside,July,2012.0,z,email,True,2012,False,4.0
44,0,ADULT,79,40,60 to 64 years,O7,Ortega,June,2012.0,z,email,True,2003,False,4.0
45,0,ADULT,47,16,25 to 34 years,M4,Merced,June,2016.0,p,phone,False,2010,False,11.0
46,0,ADULT,12,0,25 to 34 years,M2,Marina,October,2013.0,p,phone,False,2012,False,1.0
47,0,ADULT,4,1,25 to 34 years,M4,Merced,April,2015.0,z,email,True,2012,False,4.0
51,0,ADULT,3,0,25 to 34 years,A5,Anza,August,2014.0,z,email,True,2012,False,4.0
53,0,ADULT,5,0,25 to 34 years,O7,Ortega,July,2016.0,z,email,True,2015,False,4.0
58,0,ADULT,11,1,60 to 64 years,O7,Ortega,March,2014.0,p,phone,False,2013,False,7.0
59,0,ADULT,6,0,25 to 34 years,P5,Portola,June,2013.0,a,print,False,2011,False,9.0
60,0,ADULT,408,75,45 to 54 years,S7,Sunset,July,2016.0,z,email,True,2009,False,7.0
61,0,ADULT,297,87,35 to 44 years,S7,Sunset,July,2016.0,z,email,True,2003,False,7.0
62,3,SENIOR,193,90,65 to 74 years,A5,Anza,July,2016.0,z,email,True,2007,False,1.0
67,4,WELCOME,1,0,25 to 34 years,X,Main Library,May,2016.0,z,email,True,2016,False,9.0
71,0,ADULT,9,0,45 to 54 years,S7,Sunset,June,2013.0,z,email,True,2013,False,4.0
72,0,ADULT,31,46,45 to 54 years,P1,Park,January,2014.0,z,email,True,2011,False,5.0
73,0,ADULT,153,101,35 to 44 years,O7,Ortega,June,2016.0,z,email,True,2003,False,4.0
74,0,ADULT,657,373,35 to 44 years,M4,Merced,July,2016.0,z,email,True,2011,False,4.0
75,0,ADULT,1,0,60 to 64 years,A5,Anza,June,2015.0,p,phone,False,2015,False,1.0
76,0,ADULT,91,0,45 to 54 years,M2,Marina,January,2016.0,a,print,False,2003,False,6.0
80,0,ADULT,35,0,25 to 34 years,M6,Mission,May,2016.0,z,email,True,2016,False,8.0
83,0,ADULT,33,3,35 to 44 years,M2,Marina,June,2014.0,z,email,True,2008,False,5.0
84,0,ADULT,27,20,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2005,False,8.0
92,0,ADULT,0,0,25 to 34 years,E9,Excelsior,March,2015.0,a,print,False,2015,False,6.0
93,0,ADULT,429,0,45 to 54 years,M4,Merced,August,2014.0,p,phone,True,2012,False,11.0
94,4,WELCOME,1,0,35 to 44 years,P9,Presidio,July,2015.0,z,email,True,2015,False,2.0
97,0,ADULT,160,44,25 to 34 years,R3,Richmond,May,2015.0,z,email,True,2003,False,1.0
99,0,ADULT,40,0,45 to 54 years,O7,Ortega,April,2015.0,p,phone,True,2003,False,4.0
100,0,ADULT,51,0,45 to 54 years,M6,Mission,August,2015.0,p,phone,False,2003,False,9.0
101,0,ADULT,77,27,35 to 44 years,M6,Mission,July,2016.0,z,email,True,2012,False,8.0
103,0,ADULT,1,0,60 to 64 years,N6,North Beach,June,2016.0,z,email,True,2016,False,3.0
107,0,ADULT,51,0,45 to 54 years,M4,Merced,July,2016.0,z,email,True,2014,False,7.0
108,4,WELCOME,1,0,25 to 34 years,M6,Mission,April,2014.0,z,email,True,2014,False,9.0
109,0,ADULT,110,53,20 to 24 years,M4,Merced,June,2016.0,z,email,True,2011,False,11.0
110,0,ADULT,5,1,35 to 44 years,I5,Ingleside,July,2015.0,z,email,True,2003,False,11.0
111,0,ADULT,6,2,25 to 34 years,P1,Park,June,2016.0,z,email,True,2014,False,5.0
112,0,ADULT,319,421,55 to 59 years,P1,Park,May,2015.0,z,email,True,2006,False,5.0
115,0,ADULT,342,209,35 to 44 years,M8,Mission Bay,October,2012.0,z,email,True,2004,False,6.0
116,0,ADULT,3,0,45 to 54 years,P7,Potrero,May,2012.0,z,email,True,2003,False,9.0
117,0,ADULT,45,3,45 to 54 years,X,Main Library,January,2015.0,z,email,True,2003,False,9.0
121,0,ADULT,2,0,25 to 34 years,S7,Sunset,January,2015.0,z,email,True,2010,False,4.0
122,0,ADULT,347,154,35 to 44 years,M6,Mission,July,2016.0,z,email,True,2009,False,2.0
125,0,ADULT,209,282,35 to 44 years,R3,Richmond,June,2016.0,z,email,True,2003,False,1.0
127,15,TEACHER CARD,215,108,45 to 54 years,P5,Portola,June,2016.0,z,email,True,2014,False,7.0
130,0,ADULT,23,0,25 to 34 years,A5,Anza,April,2015.0,z,email,True,2012,False,6.0
133,0,ADULT,0,0,25 to 34 years,X,Main Library,May,2016.0,a,print,True,2012,False,8.0
134,0,ADULT,118,45,35 to 44 years,P7,Potrero,July,2015.0,z,email,True,2013,False,3.0
141,0,ADULT,4,12,55 to 59 years,A5,Anza,January,2016.0,z,email,True,2015,False,1.0
142,0,ADULT,28,15,45 to 54 years,S7,Sunset,June,2016.0,z,email,True,2010,False,4.0
144,0,ADULT,43,108,45 to 54 years,W2,West Portal,January,2011.0,z,email,True,2003,False,7.0
145,0,ADULT,69,1,25 to 34 years,M6,Mission,May,2010.0,z,email,True,2004,False,5.0
146,4,WELCOME,1,0,35 to 44 years,P1,Park,March,2015.0,z,email,True,2015,False,5.0
148,0,ADULT,1,0,55 to 59 years,R3,Richmond,June,2015.0,z,email,True,2015,False,1.0
150,0,ADULT,30,2,25 to 34 years,P1,Park,August,2015.0,z,email,True,2014,False,5.0
